time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-20T06:42:24.789Z,-54.5866,5.4435,10,5,mb,,73,17.521,0.4,us,us70007tf6,2020-02-20T07:13:30.040Z,"136km E of Bouvet Island, Bouvet Island",earthquake,14.1,1.9,0.113,25,reviewed,us,us
2020-02-20T06:35:32.173Z,-34.3928,-179.1416,10,5.1,mww,,81,5.244,1.13,us,us70007tf0,2020-02-20T06:55:11.040Z,South of the Kermadec Islands,earthquake,11.3,1.9,0.078,16,reviewed,us,us
2020-02-20T04:01:45.400Z,-57.566,-26.053,98.38,5.1,mb,,76,6.722,0.71,us,us70007tdi,2020-02-20T04:17:34.040Z,"118km SE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.7,7.1,0.086,44,reviewed,us,us
2020-02-20T03:53:06.660Z,35.3266,140.4295,10,4.6,mb,,116,1.954,1.01,us,us70007tdf,2020-02-21T05:05:03.247Z,"9km NNE of Ohara, Japan",earthquake,7.7,1.9,0.085,41,reviewed,us,us
2020-02-20T00:48:11.015Z,26.9494,143.722,10,4.6,mb,,139,1.379,0.5,us,us70007tc3,2020-02-20T04:45:56.040Z,"150km E of Chichi-shima, Japan",earthquake,8.3,1.9,0.07,61,reviewed,us,us
2020-02-19T21:38:06.692Z,43.715,-127.9085,10,4.5,mb,,192,1.97,0.97,us,us70007t8b,2020-02-26T09:34:26.918Z,"291km WNW of Bandon, Oregon",earthquake,8.1,1.9,0.057,91,reviewed,us,us
2020-02-19T17:37:35.857Z,-5.585,149.0255,173.1,4.8,mb,,70,3.419,1.07,us,us70007t3n,2020-02-26T21:31:27.040Z,"90km NW of Kandrian, Papua New Guinea",earthquake,8.4,7.2,0.098,32,reviewed,us,us
2020-02-19T15:59:18.873Z,12.4475,144.3059,10,4.6,mb,,99,1.26,0.69,us,us600084k5,2020-02-27T02:23:29.040Z,"98km SSW of Merizo Village, Guam",earthquake,12.2,1.9,0.122,20,reviewed,us,us
2020-02-19T15:54:56.841Z,12.4553,144.4106,10,5.1,mb,,45,1.212,0.86,us,us70007t2i,2020-02-27T02:08:55.035Z,"93km SSW of Merizo Village, Guam",earthquake,8.4,1.8,0.036,248,reviewed,us,us
2020-02-19T15:50:33.807Z,43.284,143.8159,23.95,4.7,mb,,110,1.217,0.84,us,us70007t2h,2020-02-27T01:55:37.040Z,"56km NW of Kushiro, Japan",earthquake,6.4,4.8,0.044,153,reviewed,us,us
2020-02-19T11:01:33.152Z,-0.6315,127.4997,27.07,4.6,mb,,88,1.4,0.7,us,us70007szg,2020-02-19T11:27:57.040Z,"81km NNW of Laiwui, Indonesia",earthquake,6.7,6.2,0.086,40,reviewed,us,us
2020-02-19T09:47:20.254Z,-0.0756,122.9961,117.25,4.7,mb,,70,0.985,0.7,us,us70007syx,2020-02-19T10:10:03.040Z,"56km SSW of Bilungala, Indonesia",earthquake,6.9,6.7,0.071,60,reviewed,us,us
2020-02-19T09:42:01.844Z,13.1598,146.4543,10,4.8,mb,,75,1.601,0.68,us,us70007sz4,2020-02-19T10:42:04.040Z,"174km ESE of Yigo Village, Guam",earthquake,7.8,1.9,0.053,109,reviewed,us,us
2020-02-19T09:38:24.441Z,77.4526,7.4622,10,4.5,mb,,50,2.027,0.85,us,us70007syw,2020-02-19T09:58:34.040Z,"210km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,5.8,1.9,0.062,78,reviewed,us,us
2020-02-19T05:27:44.514Z,23.8199,121.6149,2.36,4.7,mb,,100,0.352,0.91,us,us70007swc,2020-02-25T11:35:01.180Z,"17km S of Hualian, Taiwan",earthquake,2.4,3.7,0.102,29,reviewed,us,us
2020-02-19T05:10:41.760Z,-19.5438,-173.0303,10,4.7,mb,,104,2.967,1.06,us,us70007swm,2020-02-19T06:05:01.040Z,"140km SE of Neiafu, Tonga",earthquake,9.2,1.9,0.126,19,reviewed,us,us
