"","Year","CO2_ppm"
"443",1995.87123287671,359.4
"444",1995.95342465753,360.61
"445",1996.03825136612,362.04
"446",1996.12295081967,363.17
"447",1996.20218579235,364.17
"448",1996.2868852459,364.51
"449",1996.36885245902,365.16
"450",1996.45355191257,364.93
"451",1996.53551912568,363.53
"452",1996.62021857923,361.38
"453",1996.70491803279,359.6
"454",1996.7868852459,359.54
"455",1996.87158469945,360.84
"456",1996.95355191257,362.18
"457",1997.03835616438,363.04
"458",1997.12328767123,364.09
"459",1997.2,364.47
"460",1997.28493150685,366.25
"461",1997.36712328767,366.69
"462",1997.45205479452,365.59
"463",1997.53424657534,364.34
"464",1997.61917808219,362.2
"465",1997.70410958904,360.31
"466",1997.78630136986,360.71
"467",1997.87123287671,362.44
"468",1997.95342465753,364.33
"469",1998.03835616438,365.18
"470",1998.12328767123,365.98
"471",1998.2,367.13
"472",1998.28493150685,368.61
"473",1998.36712328767,369.49
"474",1998.45205479452,368.95
"475",1998.53424657534,367.74
"476",1998.61917808219,365.79
"477",1998.70410958904,364.01
"478",1998.78630136986,364.35
"479",1998.87123287671,365.52
"480",1998.95342465753,367.08
"481",1999.03835616438,368.12
"482",1999.12328767123,368.98
"483",1999.2,369.6
"484",1999.28493150685,370.96
"485",1999.36712328767,370.77
"486",1999.45205479452,370.33
"487",1999.53424657534,369.28
"488",1999.61917808219,366.86
"489",1999.70410958904,364.94
"490",1999.78630136986,365.35
"491",1999.87123287671,366.68
"492",1999.95342465753,368.04
"493",2000.03825136612,369.25
"494",2000.12295081967,369.5
"495",2000.20218579235,370.56
"496",2000.2868852459,371.82
"497",2000.36885245902,371.51
"498",2000.45355191257,371.71
"499",2000.53551912568,369.85
"500",2000.62021857923,368.2
"501",2000.70491803279,366.91
"502",2000.7868852459,366.99
"503",2000.87158469945,368.33
"504",2000.95355191257,369.67
"505",2001.03835616438,370.52
"506",2001.12328767123,371.49
"507",2001.2,372.53
"508",2001.28493150685,373.37
"509",2001.36712328767,373.82
"510",2001.45205479452,373.18
"511",2001.53424657534,371.57
"512",2001.61917808219,369.63
"513",2001.70410958904,368.16
"514",2001.78630136986,368.42
"515",2001.87123287671,369.69
"516",2001.95342465753,371.18
"517",2002.03835616438,372.45
"518",2002.12328767123,373.14
"519",2002.2,373.93
"520",2002.28493150685,375
"521",2002.36712328767,375.65
"522",2002.45205479452,375.5
"523",2002.53424657534,374
"524",2002.61917808219,371.83
"525",2002.70410958904,370.66
"526",2002.78630136986,370.51
"527",2002.87123287671,372.2
"528",2002.95342465753,373.71
"529",2003.03835616438,374.87
"530",2003.12328767123,375.62
"531",2003.2,376.48
"532",2003.28493150685,377.74
"533",2003.36712328767,378.5
"534",2003.45205479452,378.18
"535",2003.53424657534,376.72
"536",2003.61917808219,374.31
"537",2003.70410958904,373.2
"538",2003.78630136986,373.1
"539",2003.87123287671,374.64
"540",2003.95342465753,375.93
"541",2004.03825136612,377
"542",2004.12295081967,377.87
"543",2004.20218579235,378.73
"544",2004.2868852459,380.41
"545",2004.36885245902,380.63
"546",2004.45355191257,379.56
"547",2004.53551912568,377.61
"548",2004.62021857923,376.15
"549",2004.70491803279,374.11
"550",2004.7868852459,374.44
"551",2004.87158469945,375.93
"552",2004.95355191257,377.45
"553",2005.03835616438,378.47
"554",2005.12328767123,379.76
"555",2005.2,381.14
"556",2005.28493150685,382.2
"557",2005.36712328767,382.47
"558",2005.45205479452,382.2
"559",2005.53424657534,380.78
"560",2005.61917808219,378.73
"561",2005.70410958904,376.66
"562",2005.78630136986,376.98
"563",2005.87123287671,378.29
"564",2005.95342465753,379.92
"565",2006.03835616438,381.35
"566",2006.12328767123,382.16
"567",2006.2,382.66
"568",2006.28493150685,384.73
"569",2006.36712328767,384.98
"570",2006.45205479452,384.09
"571",2006.53424657534,382.38
"572",2006.61917808219,380.45
"573",2006.70410958904,378.92
"574",2006.78630136986,379.16
"575",2006.87123287671,380.18
"576",2006.95342465753,381.79
"577",2007.03835616438,382.93
"578",2007.12328767123,383.81
"579",2007.2,384.56
"580",2007.28493150685,386.4
"581",2007.36712328767,386.58
"582",2007.45205479452,386.05
"583",2007.53424657534,384.49
"584",2007.61917808219,382
"585",2007.70410958904,380.9
"586",2007.78630136986,381.14
"587",2007.87123287671,382.42
"588",2007.95342465753,383.89
"589",2008.03825136612,385.44
"590",2008.12295081967,385.73
"591",2008.20218579235,385.97
"592",2008.2868852459,387.16
"593",2008.36885245902,388.5
"594",2008.45355191257,387.88
"595",2008.53551912568,386.42
"596",2008.62021857923,384.15
"597",2008.70491803279,383.09
"598",2008.7868852459,382.99
"599",2008.87158469945,384.13
"600",2008.95355191257,385.56
"601",2009.03835616438,386.94
"602",2009.12328767123,387.42
"603",2009.2,388.77
"604",2009.28493150685,389.44
"605",2009.36712328767,390.19
"606",2009.45205479452,389.45
"607",2009.53424657534,387.78
"608",2009.61917808219,385.92
"609",2009.70410958904,384.79
"610",2009.78630136986,384.39
"611",2009.87123287671,386
"612",2009.95342465753,387.31
"613",2010.03835616438,388.5
"614",2010.12328767123,389.94
"615",2010.2,391.09
"616",2010.28493150685,392.52
"617",2010.36712328767,393.04
"618",2010.45205479452,392.15
"619",2010.53424657534,390.22
"620",2010.61917808219,388.26
"621",2010.70410958904,386.83
"622",2010.78630136986,387.2
"623",2010.87123287671,388.65
"624",2010.95342465753,389.73
"625",2011.03835616438,391.25
"626",2011.12328767123,391.82
"627",2011.2,392.49
"628",2011.28493150685,393.34
"629",2011.36712328767,394.21
"630",2011.45205479452,393.72
"631",2011.53424657534,392.42
"632",2011.61917808219,390.19
"633",2011.70410958904,389.04
"634",2011.78630136986,388.96
"635",2011.87123287671,390.24
"636",2011.95342465753,391.83
"637",2012.03825136612,393.12
"638",2012.12295081967,393.6
"639",2012.20218579235,394.45
"640",2012.2868852459,396.18
"641",2012.36885245902,396.78
"642",2012.45355191257,395.83
"643",2012.53551912568,394.3
"644",2012.62021857923,392.41
"645",2012.70491803279,391.06
"646",2012.7868852459,391.01
"647",2012.87158469945,392.81
"648",2012.95355191257,394.28
"649",2013.03835616438,395.54
"650",2013.12328767123,396.8
"651",2013.2,397.31
"652",2013.28493150685,398.35
"653",2013.36712328767,399.76
"654",2013.45205479452,398.58
"655",2013.53424657534,397.2
"656",2013.61917808219,395.15
"657",2013.70410958904,393.51
"658",2013.78630136986,393.66
"659",2013.87123287671,395.11
"660",2013.95342465753,396.81
"661",2014.03835616438,397.8
"662",2014.12328767123,397.91
"663",2014.2,399.59
"664",2014.28493150685,401.27
"665",2014.36712328767,401.83
"666",2014.45205479452,401.15
"667",2014.53424657534,399
"668",2014.61917808219,397.01
"669",2014.70410958904,395.28
"670",2014.78630136986,395.93
"671",2014.87123287671,397.13
