Year,Month,Precip_inches,state_cd
1979,4,10.89,AL
1979,5,4.37,AL
1979,6,2.63,AL
1979,7,7.56,AL
1979,8,4.19,AL
1979,9,7.43,AL
1979,10,1.56,AL
1979,11,5.8,AL
1979,12,2.56,AL
1980,1,5.5,AL
1980,2,2.45,AL
1980,3,13.81,AL
1980,4,7.65,AL
1980,5,7.07,AL
1980,6,3.26,AL
1980,7,2.96,AL
1980,8,2.51,AL
1980,9,5.18,AL
1980,10,3.77,AL
1980,11,3.17,AL
1980,12,1.15,AL
1981,1,1.33,AL
1981,2,6.64,AL
1981,3,5.71,AL
1981,4,2.95,AL
1981,5,3.87,AL
1981,6,3.46,AL
1981,7,3.85,AL
1981,8,4.78,AL
1981,9,2.07,AL
1981,10,3.11,AL
1981,11,1.75,AL
1981,12,6.28,AL
1982,1,6.5,AL
1982,2,7.67,AL
1982,3,2.95,AL
1982,4,7.57,AL
1982,5,2.96,AL
1982,6,5.01,AL
1982,7,6.08,AL
1982,8,3.77,AL
1982,9,2.03,AL
1982,10,2.68,AL
1982,11,5.62,AL
1982,12,8.29,AL
1983,1,4.34,AL
1983,2,7.76,AL
1983,3,7.73,AL
1983,4,9.44,AL
1983,5,6.37,AL
1983,6,5.94,AL
1983,7,1.98,AL
1983,8,3.07,AL
1983,9,4.61,AL
1983,10,2.44,AL
1983,11,7.47,AL
1983,12,9.22,AL
1984,1,4.05,AL
1984,2,4.03,AL
1984,3,4.96,AL
1984,4,5.42,AL
1984,5,5.88,AL
1984,6,2.31,AL
1984,7,5.76,AL
1984,8,5.61,AL
1984,9,0.62,AL
1984,10,5.22,AL
1984,11,3.9,AL
1984,12,2.77,AL
1985,1,3.9,AL
1985,2,6.43,AL
1985,3,2.49,AL
1985,4,2.93,AL
1985,5,4.11,AL
1985,6,3.87,AL
1985,7,7.17,AL
1985,8,4.79,AL
1985,9,3.15,AL
1985,10,6,AL
1985,11,2.91,AL
1985,12,3.56,AL
1986,1,2.13,AL
1986,2,3.76,AL
1986,3,4.48,AL
1986,4,0.72,AL
1986,5,4.97,AL
1986,6,2.68,AL
