Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-312987,2619,UT,41.1821,-111.3737,06/10/08,Forested Upland,Mixed Forest,0-5,16.8
C-313068,2735,UT,37.1627,-112.3464,07/04/08,Shrubland,Shrubland,0-5,5.1
C-312992,2783,UT,37.766,-113.7214,07/05/08,Shrubland,Shrubland,0-5,17.4
C-313031,2811,UT,39.6879,-112.9897,06/20/08,Barren,Transitional,0-5,21.4
C-313037,2907,UT,38.9527,-110.9927,06/27/08,Shrubland,Shrubland,0-5,14.4
C-312921,3067,UT,41.2501,-113.9849,06/12/08,Shrubland,Shrubland,0-5,34.5
C-312949,3119,UT,37.4634,-111.9504,07/04/08,Shrubland,Shrubland,0-5,14.2
C-312994,3227,UT,37.7639,-109.7709,07/02/08,Forested Upland,Mixed Forest,0-5,19
C-312942,3387,UT,39.7947,-111.202,06/19/08,Shrubland,Shrubland,0-5,9.5
C-313006,3483,UT,39.0768,-109.3763,06/30/08,Shrubland,Shrubland,0-5,26.1
N.S.,3643,UT,40.6473,-112.3082,06/13/08,Developed,Low Intensity Residential,N.S.,
C-313063,3807,UT,37.5908,-113.7321,07/05/08,Shrubland,Shrubland,0-5,23.8
C-313009,3835,UT,40.7989,-112.7065,06/12/08,Barren,Bare Rock/Sand/Clay,0-5,14.1
C-313056,3931,UT,38.0536,-111.8268,06/26/08,Shrubland,Shrubland,0-5,22.3
C-312925,4059,UT,37.1759,-109.851,07/01/08,Barren,Bare Rock/Sand/Clay,0-5,10.7
C-313045,4063,UT,38.7001,-112.4363,06/22/08,Forested Upland,Evergreen Forest,0-5,21.5
C-312968,4143,UT,39.2703,-113.2499,06/25/08,Barren,Bare Rock/Sand/Clay,0-5,13.3
C-313002,4251,UT,37.3659,-111.1226,07/03/08,Shrubland,Shrubland,0-5,11.2
C-313027,4399,UT,38.2371,-112.9488,06/24/08,Shrubland,Shrubland,0-5,14.3
C-312967,4411,UT,40.212,-110.0626,06/18/08,Shrubland,Shrubland,0-5,14.5
C-312952,4507,UT,38.0338,-110.185,07/02/08,Forested Upland,Evergreen Forest,0-5,12
N.S.,4603,UT,40.2648,-109.1021,06/16/08,Herbaceous Upland,Grasslands/Herbaceous,N.S.,
C-312924,4667,UT,40.1163,-112.2336,06/21/08,Shrubland,Shrubland,0-5,44.2
C-313050,4859,UT,40.1003,-113.7157,06/20/08,Shrubland,Shrubland,0-5,27.5
C-312969,4923,UT,41.9538,-111.9783,06/10/08,Planted/Cultivated,Small Grains,0-5,29.1
C-313061,4955,UT,38.8096,-111.6932,06/22/08,Forested Upland,Deciduous Forest,0-5,13.7
C-313005,5087,UT,39.0379,-113.7655,06/25/08,Shrubland,Shrubland,0-5,13.6
C-313015,5115,UT,40.7251,-113.4989,06/12/08,Barren,Bare Rock/Sand/Clay,0-5,8.7
C-313018,5163,UT,37.2909,-109.5643,07/01/08,Shrubland,Shrubland,0-5,8.9
